OBJECTID,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN
881,9,51,10,17
882,13,40,14,12
883,17,20,99,99
884,20,21,99,99
885,20,22,21,33
886,9,9,10,28
887,12,50,13,45
888,16,18,88,88
889,16,30,99,99
890,19,36,88,88
891,16,59,17,18
892,18,0,88,88
893,19,25,99,99
894,12,20,12,42
895,10,33,88,88
896,14,41,15,27
897,9,38,10,50
898,15,41,16,9
899,16,40,99,99
900,18,6,18,23
901,4,13,4,27
902,99,99,99,99
903,16,55,17,47
904,20,35,88,88
905,8,46,99,99
906,19,42,88,88
907,0,7,99,99
908,10,49,10,58
909,9,32,10,32
910,21,5,88,88
911,5,11,5,51
912,10,42,10,50
913,22,30,88,88
914,21,24,88,88
915,17,16,17,45
916,17,49,88,88
917,17,5,18,45
918,14,33,17,3
919,16,4,16,42
920,11,29,11,52
921,9,27,11,16
922,22,99,88,88
923,99,99,88,88
924,99,99,88,88
925,99,99,99,99
926,0,99,88,88
927,7,21,88,88
928,8,33,8,55
929,99,99,99,99
930,6,9,7,25
931,99,99,88,88
932,17,59,18,20
933,14,42,15,8
934,88,88,88,88
935,2,0,88,88
936,13,43,14,29
937,2,99,88,88
938,17,48,99,99
939,14,41,15,6
940,9,58,11,0
941,23,18,88,88
942,99,99,99,99
943,0,34,1,5
944,6,6,6,31
945,17,49,88,88
946,88,88,88,88
947,0,22,0,51
948,5,13,88,88
949,17,36,18,12
950,99,98,88,88
951,23,59,99,99
952,88,88,88,88
953,99,99,99,99
954,99,99,88,88
955,9,17,88,88
956,1,54,2,20
957,99,99,99,99
958,3,28,3,38
959,88,88,88,88
960,17,59,18,8
961,17,15,99,99
962,6,45,7,0
963,2,38,3,2
964,88,88,88,88
965,88,88,88,88
966,99,99,88,88
967,22,46,88,88
968,99,99,99,99
969,12,46,88,88
970,2,19,2,29
971,99,98,88,88
972,88,88,88,88
973,99,99,88,88
974,17,25,17,42
975,5,27,88,88
976,99,99,99,99
977,99,99,99,99
978,2,16,88,88
979,8,22,9,12
980,99,98,88,88
981,15,20,99,99
982,23,1,23,25
983,7,7,88,88
984,99,98,88,88
985,99,98,88,88
986,99,98,88,88
987,99,99,99,99
988,88,88,88,88
989,99,99,99,98
990,2,45,88,88
991,3,57,4,29
992,15,45,99,99
993,20,18,88,88
994,21,2,99,99
995,99,99,99,99
996,15,21,88,88
997,12,48,13,3
998,13,45,88,88
999,8,57,88,88
1000,18,9,18,17
1001,7,54,99,99
1002,99,99,88,88
1003,15,3,15,16
1004,8,3,8,33
1005,23,57,0,27
1006,12,19,12,47
1007,10,42,88,88
1008,12,5,88,88
1009,99,99,99,99
1010,99,99,99,99
1011,20,52,88,88
