OBJECTID,ST_CASE,FATALS,PERSONS,VE_TOTAL,VE_FORMS,PEDS,PERNOTMVIT,SCH_BUS,RAIL,WRK_ZONE
18118,240202,1,9,4,4,0,0,0,0000000,0
18119,240203,1,1,1,1,1,1,0,0000000,0
18120,240204,1,6,2,2,0,0,0,0000000,0
18121,240205,1,3,2,2,1,1,0,0000000,0
18122,240206,1,2,2,2,1,1,0,0000000,0
18123,240207,1,2,1,1,0,0,0,0000000,0
18124,240208,1,1,1,1,0,0,0,0000000,0
18125,240209,1,1,1,1,0,0,0,0000000,0
18126,240210,1,1,1,1,1,1,0,0000000,0
18127,240211,1,1,1,1,0,0,0,0000000,0
18128,240212,1,1,1,1,1,1,0,0000000,0
18129,240213,2,3,2,2,0,0,0,0000000,0
18130,240214,1,1,1,1,0,0,0,0000000,0
18131,240215,1,1,1,1,0,0,0,0000000,0
18132,240216,1,2,2,2,1,1,0,0000000,0
18133,240217,1,2,2,2,0,0,0,0000000,0
18134,240218,1,2,1,1,1,1,0,0000000,0
18135,240219,1,2,2,2,0,0,0,0000000,0
18136,240220,2,2,2,2,0,0,0,0000000,0
18137,240221,1,2,2,2,0,0,0,0000000,0
18138,240222,1,5,3,3,0,0,0,0000000,0
18139,240223,1,1,1,1,1,1,0,0000000,0
18140,240224,2,5,2,2,0,0,0,0000000,0
18141,240225,1,2,2,2,0,0,0,0000000,0
18142,240226,1,2,2,2,0,0,0,0000000,0
18143,240227,1,1,1,1,1,1,0,0000000,0
18144,240228,1,3,2,2,0,0,0,0000000,0
18145,240229,1,5,2,2,0,0,0,0000000,0
18146,240230,1,1,1,1,0,0,0,0000000,0
18147,240231,1,5,1,1,0,0,0,0000000,0
18148,240232,1,2,1,1,1,1,0,0000000,0
18149,240233,1,2,2,2,0,0,0,0000000,0
18150,240234,1,1,1,1,1,1,0,0000000,0
18151,240235,1,2,2,2,0,0,0,0000000,0
18152,240236,1,2,5,1,0,0,0,0000000,0
18153,240237,1,2,2,2,0,0,0,0000000,0
18154,240238,1,4,4,4,0,0,0,0000000,0
18155,240240,1,3,1,1,0,0,0,0000000,0
18156,240241,1,2,2,2,0,0,0,0000000,0
18157,240242,1,1,1,1,0,0,0,0000000,0
18158,240243,1,2,2,2,0,0,0,0000000,0
18159,240244,1,2,1,1,0,0,0,0000000,0
18160,240245,1,3,2,2,0,0,0,0000000,0
18161,240246,1,1,1,1,0,0,0,0000000,0
18162,240247,1,2,2,2,0,0,0,0000000,0
18163,240248,1,2,1,1,0,0,0,0000000,0
18164,240249,1,1,1,1,0,0,0,0000000,0
18165,240250,1,4,2,2,0,0,0,0000000,0
18166,240251,1,1,1,1,0,0,0,0000000,0
18167,240252,1,2,2,2,0,0,0,0000000,0
